"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"The impact of vocational education and training programs on recidivism: A systematic review of current experimental evidence","https://scispace.com/paper/the-impact-of-vocational-education-and-training-programs-on-5p4se2gdkx","2018","Journal Article","International Journal of Offender Therapy and Comparative Criminology","Danielle Newton
Andrew Day
Margaret Giles
Joanne Wodak
Joseph Graffam
Eileen Baldry
Eileen Baldry","10.1177/0306624X16645083","https://www.academia.edu/download/68076060/Int_J_Offender_Ther_Comp_Criminol_2016_Newton_0306624X16645083_copy.pdf","… for post-release employment Effects on employment and … who had been released from state prison within the previous 90 days, … on a prisoner’s reintegration into the community such as …","Although the association between unemployment and offending is well established, relatively little is known about the impact of vocational education and training programs on re-offending, with much of the previous work in this area failing to control for, or correct, selection bias. This article reports the findings of a systematic review, which considers the findings of only those studies that have used experimental or quasi-experimental designs to evaluate vocational training and employment program outcomes for adult offenders. The analysis identifies key features, based on these studies, of those programs associated with the best outcomes and recommends selection criteria for those who are most likely to benefit from prison vocational education and training."
"Prison Vocational Education and Post-release Employment Outcomes: A Systematic Review","https://scispace.com/paper/GMRkBreb30QJ","","","","DG Smith","","https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=ysu1754330390640078&disposition=inline","… The findings supported Human Capital and Social Learning Theories by emphasizing the … correctional education practices to support successful reintegration and reduce recidivism. …",""
"An evaluation of the effect of correctional education programs on post-release recidivism and employment: An empirical study in Indiana","https://scispace.com/paper/an-evaluation-of-the-effect-of-correctional-education-2j54c3ba0s","2012","Journal Article","Journal of correctional education","John M. Nally
Susan Lockwood
Katie Knutson
Taiping Ho","","","… remedy for prisoner reentry to the community. Since the … the reduction of the recidivism rate among post-release offenders… Department of Workforce Development (DWD) for employment-…",""
"The impact of prison education programs on post-release outcomes","https://scispace.com/paper/Dj9v9SueySAJ","","","","GG Gaes","","http://www.antoniocasella.eu/nume/Gaes_2008.pdf","… that correctional education does promote successful prisoner … to lower recidivism and gains in post-release employment. … either by increasing the inmate’s skills (human capital), or by a …",""
"A rapid evidence assessment of the effectiveness of prison education in reducing recidivism and increasing employment","https://scispace.com/paper/a-rapid-evidence-assessment-of-the-effectiveness-of-prison-1g71levpy0","2017","Journal Article","Probation Journal","Mark Ellison
Kirstine Szifris
Rachel Horan
Chris Fox","10.1177/0264550517699290","https://e-space.mmu.ac.uk/618360/3/REA%20Offender%20Learning%20in%20Prisons%20BLIND%20resubmission.pdf","… of education to recidivism and post-release employment, in such … education does work as a ‘reduction tool for recidivism’ (p. 24) and that this is true for all forms of correctional education…","This is a Rapid Evidence Assessment (REA) of educational programmes delivered within prison. Included in this review are evaluations of vocational, academic, basic skills, accredited and unaccredit..."
"Effectiveness of post-secondary education and vocational training on offender rehabilitation and re-entry: A meta-analysis","https://scispace.com/paper/U7eyFJf6yigJ","","","","R King","","","… a mean to combat recidivism and assist with the reintegration of … By typing in key words (eg Correctional Education and Re-… are the most important predicators of post release recidivism. …",""
"Can prisons move people into better jobs? A look at correctional vocational training programs and sectoral employment outcomes","https://scispace.com/paper/vZrx7Yy7b1YJ","","","","B van Tiem","","https://onlinelibrary.wiley.com/doi/pdf/10.1111/1745-9125.70027","… have long invested in employmentfocused reentry programs, … to build skills to improve post-release employment prospects. … a recidivism-reducing effect of vocational training programs. …",""
"A future beyond the wall: Improving post-release employment outcomes for people leaving prison final report","https://scispace.com/paper/a-future-beyond-the-wall-improving-post-release-employment-1dj1vtgorf","2018","","","Eileen Baldry
David Bright
Jesse Cale
Andrew Day
Leanne Dowse
Margaret Giles
Leslie Hardcastle
Joseph Graffam
Jane McGillivray
Danielle Newton
Simone Rowe","10.26190/5B4FD2DE5CFB4","https://research-repository.griffith.edu.au/bitstreams/130c71d7-4372-4f49-b82d-1ce1d7cbadee/download","… the work on human capital, and the development of social … or the other on employment, recidivism and reintegration of ex-… training and/or employment programs is related to recidivism …","Australian incarceration rates are rising and over a quarter of released prisoners are reconvicted within three months of release and more than a third reimprisoned within two years A key aim of correctional programs is to break this cycle of offending Approximately two-thirds of re-incarcerated people are unemployed at the time they commit an offence and employment has been identified as a factor in an individual remaining crime free Despite this, ex-prisoners1 have the highest rates of unemployment of any group in Australia—an irony given the established links between employment and desistance The fact that prisoners are amongst the most socially disadvantaged Australians is a key factor in this phenomenon 
Reintegration (or integration, given many were not integrated into the broader community prior to incarceration) is the process of a prisoner returning to the ‘community’ (that is society outside prison), living a productive life and ceasing to offend As being employed has been linked to desistance and successful reintegration, helping ex-prisoners to find and keep a job is a major focus of correctional programs around the world The economic and social benefits of reducing offending and reoffending are obvious Despite the acknowledgement of the benefits to society of ex-prisoners gaining employment and staying crime free, these job seekers are profoundly disadvantaged in gaining employment The barriers to employment for ex-prisoners include: personal characteristics such as disability, attitudes, mental and physical health, level of education, skills and substance use; structural and subsistence conditions such as poverty, discrimination, finance and housing; and support conditions, which include the presence or absence of both formal services and informal supports Given that being employed is directly associated with each of these factors, the provision of employment support for ex-prisoners is a key element in addressing recidivism 
While there has been considerable international and Australian research into the factors that promote the employment of ex-prisoners, there have been few attempts to analyse evidence-based practice in employment support across Australian correctional systems As a consequence, in part at least, there have been relatively few attempts to provide theoretical frameworks for the role of employment in desistance This project, A Future Beyond the Wall: Improving Post-release Employment Outcomes for People Leaving Prison (hereafter, the ‘PEOP study’) described and analysed offender employment initiatives, pre- and post-release, across Australian correctional systems It explored the contribution of offender employment programs to successful desistance and reintegration into the community through an investigation of both employment and recidivism outcomes The project critically reviewed various theoretical perspectives and developed an overarching framework for effective prison and post-prison employment programs An important innovation was the investigation of the impact of offender diversity on the effectiveness of offender employment programs Indigenous Australian2 offenders and those with mental and/or cognitive disability have unique needs and are over-represented in the prisoner and ex-prisoner population 
The PEOP study recognised the importance of investigating initiatives that attempt to address these needs"
"Does providing inmates with education improve postrelease outcomes? A meta-analysis of correctional education programs in the United States","https://scispace.com/paper/does-providing-inmates-with-education-improve-postrelease-4jbemb0poz","2018","Journal Article","Journal of Experimental Criminology","Robert Bozick
Jennifer L. Steele
Lois M. Davis
Susan Turner","10.1007/S11292-018-9334-6","https://www.researchgate.net/profile/Lois-Davis/publication/325342681_Does_providing_inmates_with_education_improve_postrelease_outcomes_A_meta-analysis_of_correctional_education_programs_in_the_United_States/links/601c2e87299bf1cc26a2ce7b/Does-providing-inmates-with-education-improve-postrelease-outcomes-A-meta-analysis-of-correctional-education-programs-in-the-United-States.pdf?_sg%5B0%5D=started_experiment_milestone&_sg%5B1%5D=started_experiment_milestone&origin=journalDetail","… the odds of recidivism and postrelease employment for inmates … also included life skills training/reentry programs and work … of the Post Release Employment Project vocational training …","Our study addresses the question: Does providing inmates with education while incarcerated reduce their chances of recidivism and improve their postrelease employment prospects? We aggregated 37 years of research (1980–2017) on correctional education and applied meta-analytic techniques. As the basis for our meta-analysis, we identified a total of 57 studies that used recidivism as an outcome and 21 studies that used employment as an outcome. We then applied random-effects regression across the effect sizes abstracted from each of these studies. When focusing on studies with the highest caliber research designs, we found that inmates participating in correctional education programs were 28% less likely to recidivate when compared with inmates who did not participate in correctional education programs. However, we found that inmates receiving correctional education were as likely to obtain postrelease employment as inmates not receiving correctional education. Our meta-analysis demonstrates the value in providing inmates with educational opportunities while they serve their sentences if the goal of the program is to reduce recidivism."
"Training and employment for correctional populations","https://scispace.com/paper/training-and-employment-for-correctional-populations-ohx98owx6i","2021","Journal Article","Contexts","Grant Duwe
Makada Henry-Nickie","10.1177/15365042211058124","https://journals.sagepub.com/doi/pdf/10.1177/15365042211058124","… and Prisoner Reentry, “… of education programming on recidivism, it has also examined the effects on other important outcomes such as prison misconduct, post-release employment and …","Education and employment are both moderate risk factors for recidivism. There is a well-documented relationship between low educational achievement and antisocial behaviors. Education programming i..."
